Date : 2026-08-06 12:55:40
Directory : /Users/omarragab/Projects/zalameh_dashboard_app
Total : 129 files,  25849 codes, 792 comments, 1921 blanks, all 28562 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| TypeScript JSX     |         79 |     16,483 |        755 |      1,332 |     18,570 |
| TypeScript         |         32 |      4,071 |         36 |        483 |      4,590 |
| JSON               |          6 |      3,226 |          0 |         10 |      3,236 |
| XML                |          5 |      1,310 |          0 |          3 |      1,313 |
| JavaScript         |          1 |        703 |          0 |         77 |        780 |
| Markdown           |          1 |         23 |          0 |         10 |         33 |
| HTML               |          1 |         18 |          0 |          1 |         19 |
| CSS                |          2 |          7 |          0 |          3 |         10 |
| JSON with Comments |          1 |          7 |          0 |          1 |          8 |
| Dotenv             |          1 |          1 |          1 |          1 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                 | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                    |        129 |     25,849 |        792 |      1,921 |     28,562 |
| . (Files)                                                                                                            |         11 |      3,290 |          2 |         26 |      3,318 |
| public                                                                                                               |          3 |      1,308 |          0 |          2 |      1,310 |
| src                                                                                                                  |        114 |     20,548 |        790 |      1,816 |     23,154 |
| src (Files)                                                                                                          |          4 |         40 |          2 |         11 |         53 |
| src/assets                                                                                                           |          2 |          2 |          0 |          1 |          3 |
| src/core                                                                                                             |          6 |        349 |         21 |         65 |        435 |
| src/core/auth                                                                                                        |          2 |        185 |          7 |         34 |        226 |
| src/core/firebase                                                                                                    |          1 |         24 |          4 |          6 |         34 |
| src/core/types                                                                                                       |          1 |         25 |          0 |          4 |         29 |
| src/core/utils                                                                                                       |          2 |        115 |         10 |         21 |        146 |
| src/features                                                                                                         |        102 |     20,157 |        767 |      1,739 |     22,663 |
| src/features/ads                                                                                                     |          9 |      1,441 |         81 |        112 |      1,634 |
| src/features/ads/components                                                                                          |          6 |        995 |         59 |         84 |      1,138 |
| src/features/ads/data                                                                                                |          1 |        257 |          0 |          3 |        260 |
| src/features/ads/pages                                                                                               |          1 |        155 |         22 |         19 |        196 |
| src/features/ads/types                                                                                               |          1 |         34 |          0 |          6 |         40 |
| src/features/auth                                                                                                    |          3 |        157 |          9 |         17 |        183 |
| src/features/auth/components                                                                                         |          2 |        139 |          6 |         13 |        158 |
| src/features/auth/pages                                                                                              |          1 |         18 |          3 |          4 |         25 |
| src/features/categories                                                                                              |         17 |      3,570 |        120 |        376 |      4,066 |
| src/features/categories/components                                                                                   |          9 |      1,911 |         84 |        174 |      2,169 |
| src/features/categories/data                                                                                         |          3 |        889 |          4 |        119 |      1,012 |
| src/features/categories/data (Files)                                                                                 |          1 |          2 |          1 |          2 |          5 |
| src/features/categories/data/api                                                                                     |          1 |        807 |          3 |        102 |        912 |
| src/features/categories/data/repositories                                                                            |          1 |         80 |          0 |         15 |         95 |
| src/features/categories/domain                                                                                       |          2 |        153 |          0 |         23 |        176 |
| src/features/categories/domain/entities                                                                              |          1 |         80 |          0 |         10 |         90 |
| src/features/categories/domain/repositories                                                                          |          1 |         73 |          0 |         13 |         86 |
| src/features/categories/pages                                                                                        |          1 |        366 |         28 |         33 |        427 |
| src/features/categories/presentation                                                                                 |          1 |        250 |          4 |         26 |        280 |
| src/features/categories/presentation/hooks                                                                           |          1 |        250 |          4 |         26 |        280 |
| src/features/categories/types                                                                                        |          1 |          1 |          0 |          1 |          2 |
| src/features/content                                                                                                 |          7 |        743 |         43 |         83 |        869 |
| src/features/content/components                                                                                      |          3 |        427 |         33 |         40 |        500 |
| src/features/content/data                                                                                            |          1 |         89 |          0 |         14 |        103 |
| src/features/content/pages                                                                                           |          1 |         85 |         10 |         14 |        109 |
| src/features/content/services                                                                                        |          1 |        131 |          0 |         13 |        144 |
| src/features/content/types                                                                                           |          1 |         11 |          0 |          2 |         13 |
| src/features/dashboard                                                                                               |          8 |        877 |         45 |         69 |        991 |
| src/features/dashboard/components                                                                                    |          7 |        731 |         34 |         55 |        820 |
| src/features/dashboard/pages                                                                                         |          1 |        146 |         11 |         14 |        171 |
| src/features/finance                                                                                                 |          8 |      2,779 |        142 |        182 |      3,103 |
| src/features/finance/components                                                                                      |          7 |      2,719 |        141 |        178 |      3,038 |
| src/features/finance/pages                                                                                           |          1 |         60 |          1 |          4 |         65 |
| src/features/packages                                                                                                |          8 |      1,165 |         59 |        107 |      1,331 |
| src/features/packages/components                                                                                     |          5 |        913 |         47 |         87 |      1,047 |
| src/features/packages/data                                                                                           |          1 |        110 |          0 |          2 |        112 |
| src/features/packages/pages                                                                                          |          1 |        112 |         12 |         13 |        137 |
| src/features/packages/types                                                                                          |          1 |         30 |          0 |          5 |         35 |
| src/features/partners                                                                                                |         37 |      9,047 |        248 |        753 |     10,048 |
| src/features/partners/components                                                                                     |         26 |      6,574 |        200 |        482 |      7,256 |
| src/features/partners/components (Files)                                                                             |         17 |      6,066 |        200 |        428 |      6,694 |
| src/features/partners/components/extra-info                                                                          |          9 |        508 |          0 |         54 |        562 |
| src/features/partners/data                                                                                           |          6 |      1,204 |          3 |        128 |      1,335 |
| src/features/partners/data (Files)                                                                                   |          2 |        431 |          0 |          8 |        439 |
| src/features/partners/data/api                                                                                       |          3 |        696 |          3 |        108 |        807 |
| src/features/partners/data/repositories                                                                              |          1 |         77 |          0 |         12 |         89 |
| src/features/partners/domain                                                                                         |          2 |        312 |          0 |         40 |        352 |
| src/features/partners/domain/entities                                                                                |          1 |        264 |          0 |         31 |        295 |
| src/features/partners/domain/repositories                                                                            |          1 |         48 |          0 |          9 |         57 |
| src/features/partners/pages                                                                                          |          1 |        782 |         41 |         77 |        900 |
| src/features/partners/presentation                                                                                   |          1 |        174 |          4 |         25 |        203 |
| src/features/partners/presentation/hooks                                                                             |          1 |        174 |          4 |         25 |        203 |
| src/features/partners/types                                                                                          |          1 |          1 |          0 |          1 |          2 |
| src/features/profile                                                                                                 |          4 |        271 |         16 |         35 |        322 |
| src/features/profile/components                                                                                      |          3 |        258 |         13 |         31 |        302 |
| src/features/profile/pages                                                                                           |          1 |         13 |          3 |          4 |         20 |
| src/features/settings                                                                                                |          1 |        107 |          4 |          5 |        116 |
| src/features/settings/pages                                                                                          |          1 |        107 |          4 |          5 |        116 |
| tests                                                                                                                |          1 |        703 |          0 |         77 |        780 |
+----------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                             | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /Users/omarragab/Projects/zalameh_dashboard_app/.env                                                                 | Dotenv             |          1 |          1 |          1 |          3 |
| /Users/omarragab/Projects/zalameh_dashboard_app/.oxlintrc.json                                                       | JSON               |          8 |          0 |          1 |          9 |
| /Users/omarragab/Projects/zalameh_dashboard_app/README.md                                                            | Markdown           |         23 |          0 |         10 |         33 |
| /Users/omarragab/Projects/zalameh_dashboard_app/index.html                                                           | HTML               |         18 |          0 |          1 |         19 |
| /Users/omarragab/Projects/zalameh_dashboard_app/package-lock.json                                                    | JSON               |      3,123 |          0 |          1 |      3,124 |
| /Users/omarragab/Projects/zalameh_dashboard_app/package.json                                                         | JSON               |         34 |          0 |          1 |         35 |
| /Users/omarragab/Projects/zalameh_dashboard_app/public/favicon.svg                                                   | XML                |          1 |          0 |          0 |          1 |
| /Users/omarragab/Projects/zalameh_dashboard_app/public/icons.svg                                                     | XML                |         24 |          0 |          1 |         25 |
| /Users/omarragab/Projects/zalameh_dashboard_app/public/snapchat.svg                                                  | XML                |      1,283 |          0 |          1 |      1,284 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/App.css                                                          | CSS                |          1 |          0 |          1 |          2 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/App.tsx                                                          | TypeScript JSX     |         23 |          2 |          5 |         30 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/assets/react.svg                                                 | XML                |          1 |          0 |          0 |          1 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/assets/vite.svg                                                  | XML                |          1 |          0 |          1 |          2 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/auth/AuthContext.tsx                                        | TypeScript JSX     |         84 |          1 |         13 |         98 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/auth/authService.ts                                         | TypeScript         |        101 |          6 |         21 |        128 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/firebase/firebase.ts                                        | TypeScript         |         24 |          4 |          6 |         34 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/types/auth.types.ts                                         | TypeScript         |         25 |          0 |          4 |         29 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/utils/securityUtils.ts                                      | TypeScript         |        100 |          8 |         18 |        126 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/core/utils/terminalLogger.ts                                     | TypeScript         |         15 |          2 |          3 |         20 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/AdDetailModal.tsx                        | TypeScript JSX     |        109 |          6 |         10 |        125 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/AdForm.tsx                               | TypeScript JSX     |        447 |         29 |         34 |        510 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/AdsFilterBar.tsx                         | TypeScript JSX     |         92 |          4 |          6 |        102 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/AdsStatsOverview.tsx                     | TypeScript JSX     |         79 |          8 |         10 |         97 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/AdsTable.tsx                             | TypeScript JSX     |        229 |         12 |         19 |        260 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/components/DeleteAdModal.tsx                        | TypeScript JSX     |         39 |          0 |          5 |         44 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/data/mockAds.ts                                     | TypeScript         |        257 |          0 |          3 |        260 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/pages/AdsPage.tsx                                   | TypeScript JSX     |        155 |         22 |         19 |        196 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/ads/types/ad.types.ts                                   | TypeScript         |         34 |          0 |          6 |         40 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/auth/components/LoginForm.tsx                           | TypeScript JSX     |        102 |          4 |         10 |        116 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/auth/components/LoginHeader.tsx                         | TypeScript JSX     |         37 |          2 |          3 |         42 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/auth/pages/LoginPage.tsx                                | TypeScript JSX     |         18 |          3 |          4 |         25 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/AddCategoryModal.tsx              | TypeScript JSX     |        437 |         14 |         39 |        490 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/AddSubCategoryModal.tsx           | TypeScript JSX     |        276 |          9 |         21 |        306 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/CategoryDetailModal.tsx           | TypeScript JSX     |        142 |          4 |          9 |        155 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/CategoryFilterBar.tsx             | TypeScript JSX     |         62 |          4 |          5 |         71 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/CategoryStatsHeader.tsx           | TypeScript JSX     |         55 |          6 |          5 |         66 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/CategoryTable.tsx                 | TypeScript JSX     |        462 |         25 |         47 |        534 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/DeleteConfirmModal.tsx            | TypeScript JSX     |         64 |          4 |          6 |         74 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/ImageCropModal.tsx                | TypeScript JSX     |        277 |          7 |         29 |        313 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/components/SubCategoryDetailModal.tsx        | TypeScript JSX     |        136 |         11 |         13 |        160 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/api/categoryApiService.ts               | TypeScript         |        807 |          3 |        102 |        912 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/mockCategories.ts                       | TypeScript         |          2 |          1 |          2 |          5 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/data/repositories/categoryRepositoryImpl.ts  | TypeScript         |         80 |          0 |         15 |         95 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/domain/entities/category.entity.ts           | TypeScript         |         80 |          0 |         10 |         90 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/domain/repositories/category.repository.ts   | TypeScript         |         73 |          0 |         13 |         86 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/pages/CategoriesPage.tsx                     | TypeScript JSX     |        366 |         28 |         33 |        427 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/presentation/hooks/useCategories.ts          | TypeScript         |        250 |          4 |         26 |        280 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/categories/types/category.types.ts                      | TypeScript         |          1 |          0 |          1 |          2 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/EditPageForm.tsx                     | TypeScript JSX     |        224 |         16 |         23 |        263 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/StaticPagesList.tsx                  | TypeScript JSX     |         99 |          7 |          7 |        113 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/components/ViewPageDetails.tsx                  | TypeScript JSX     |        104 |         10 |         10 |        124 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/data/mockContent.ts                             | TypeScript         |         89 |          0 |         14 |        103 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/pages/ContentManagementPage.tsx                 | TypeScript JSX     |         85 |         10 |         14 |        109 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/services/firebaseContentService.ts              | TypeScript         |        131 |          0 |         13 |        144 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/content/types/content.types.ts                          | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/DashboardHeader.tsx                | TypeScript JSX     |        148 |         12 |         13 |        173 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/DashboardSidebar.tsx               | TypeScript JSX     |        244 |          6 |         15 |        265 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/GrowthCharts.tsx                   | TypeScript JSX     |         90 |         12 |         11 |        113 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/QuickActions.tsx                   | TypeScript JSX     |         66 |          0 |          4 |         70 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/RecentActivities.tsx               | TypeScript JSX     |         65 |          2 |          4 |         71 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/StatsOverview.tsx                  | TypeScript JSX     |         87 |          2 |          4 |         93 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/components/SystemStatus.tsx                   | TypeScript JSX     |         31 |          0 |          4 |         35 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/dashboard/pages/DashboardPage.tsx                       | TypeScript JSX     |        146 |         11 |         14 |        171 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceInvoicesTab.tsx               | TypeScript JSX     |        225 |          6 |          8 |        239 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceOverviewTab.tsx               | TypeScript JSX     |        446 |         18 |         24 |        488 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinancePaymentsTab.tsx               | TypeScript JSX     |        352 |         20 |         23 |        395 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceRenewalsTab.tsx               | TypeScript JSX     |        366 |         24 |         27 |        417 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceReportsTab.tsx                | TypeScript JSX     |        426 |         35 |         29 |        490 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceSubscriptionsTab.tsx          | TypeScript JSX     |        868 |         37 |         63 |        968 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/components/FinanceTabs.tsx                      | TypeScript JSX     |         36 |          1 |          4 |         41 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/finance/pages/FinancePage.tsx                           | TypeScript JSX     |         60 |          1 |          4 |         65 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/AddEditPackageModal.tsx             | TypeScript JSX     |        516 |         23 |         50 |        589 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageDetailsModal.tsx             | TypeScript JSX     |        148 |          8 |         14 |        170 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageFilterBar.tsx                | TypeScript JSX     |         63 |          4 |          5 |         72 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackageStatsHeader.tsx              | TypeScript JSX     |         49 |          3 |          5 |         57 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/components/PackagesTable.tsx                   | TypeScript JSX     |        137 |          9 |         13 |        159 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/data/mockPackages.ts                           | TypeScript         |        110 |          0 |          2 |        112 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/pages/PackagesPage.tsx                         | TypeScript JSX     |        112 |         12 |         13 |        137 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/packages/types/package.types.ts                         | TypeScript         |         30 |          0 |          5 |         35 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditBranchModal.tsx              | TypeScript JSX     |        473 |         14 |         31 |        518 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditBrandModal.tsx               | TypeScript JSX     |        652 |         15 |         41 |        708 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditJobModal.tsx                 | TypeScript JSX     |        616 |         26 |         58 |        700 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditMenuItemModal.tsx            | TypeScript JSX     |        452 |         17 |         36 |        505 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditOfferModal.tsx               | TypeScript JSX     |        474 |         15 |         28 |        517 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditPartnerModal.tsx             | TypeScript JSX     |        568 |         19 |         39 |        626 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/AddEditPromoCodeModal.tsx           | TypeScript JSX     |        373 |         14 |         28 |        415 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/BrandDetailView.tsx                 | TypeScript JSX     |      1,434 |         45 |         84 |      1,563 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/BrandExtraInfoView.tsx              | TypeScript JSX     |         50 |          0 |          8 |         58 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/DeleteBrandModal.tsx                | TypeScript JSX     |         70 |          1 |          7 |         78 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/DeletePartnerModal.tsx              | TypeScript JSX     |         70 |          1 |          7 |         78 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerBrandsView.tsx               | TypeScript JSX     |        249 |         14 |         17 |        280 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerFilterBar.tsx                | TypeScript JSX     |         61 |          3 |          5 |         69 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerSocialLinks.tsx              | TypeScript JSX     |        221 |          3 |         14 |        238 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnerStatsHeader.tsx              | TypeScript JSX     |         62 |          4 |          6 |         72 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/PartnersTable.tsx                   | TypeScript JSX     |        191 |          9 |         13 |        213 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/SuspendPartnerModal.tsx             | TypeScript JSX     |         50 |          0 |          6 |         56 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/ContactInfoCard.tsx      | TypeScript JSX     |         52 |          0 |          5 |         57 |
| /Users/omarragab/Projects/zalameh_dashboard_app/src/features/partners/components/extra-info/DeliveryServiceCard.tsx  | TypeScript JSX     |         43 |          0 |          4 |         47 |
